,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
165,2.0,0.16,"man, woman, time, be, get, help, year, good, need, friend","[u'dear', u'want', u'really', u'change', u'rule', u'keep', u'trend']"
166,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'mine', u'period']"
167,2.0,0.1604,"man, woman, time, be, get, help, year, good, need, friend","[u'would', u'sure', u'slight', u'problem', u'presume', u'happen', u'think', u'many', u'say']"
168,2.0,0.164,"man, woman, time, be, get, help, year, good, need, friend","[u'story', u'drunk', u'friend', u'place', u'category', u'think', u'say', u'reverse', u'situation', u'prove', u'way']"
169,2.0,0.1614,"man, woman, time, be, get, help, year, good, need, friend","[u'also', u'get', u'point', u'seem', u'really', u'believe', u'exaggerating', u'time', u'happen']"
170,2.0,0.1589,"man, woman, time, be, get, help, year, good, need, friend","[u'many', u'strong', u'woman', u'proud', u'see', u'empowerment']"
171,2.0,0.1667,"man, woman, time, be, get, help, year, good, need, friend","[u'unwanted', u'contact', u'shout', u'follow', u'tell', u'seem', u'mean', u'nothing', u'respect']"
172,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend",[u'thank']
173,2.0,0.1584,"man, woman, time, be, get, help, year, good, need, friend","[u'call', u'predator', u'call', u'violence', u'call', u'manipulation', u'grooming', u'exploitation', u'coercion', u'intimidation', u'call']"
174,2.0,0.1736,"man, woman, time, be, get, help, year, good, need, friend","[u'need', u'change', u'law']"
175,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'funny', u'tooooooo', u'true']"
176,2.0,0.1575,"man, woman, time, be, get, help, year, good, need, friend","[u'process', u'people', u'report', u'sexual', u'abuse', u'member', u'educate', u'member', u'sexually', u'abuse']"
177,2.0,0.1625,"man, woman, time, be, get, help, year, good, need, friend","[u'director', u'guild', u'go', u'help', u'stop', u'systemic', u'film', u'biz', u'sexual', u'abus']"
178,2.0,0.1578,"man, woman, time, be, get, help, year, good, need, friend","[u'well', u'police', u'hearing', u'lot', u'report', u'day']"
179,2.0,0.1582,"man, woman, time, be, get, help, year, good, need, friend","[u'free', u'press', u'great', u'justice']"
180,2.0,0.1644,"man, woman, time, be, get, help, year, good, need, friend","[u'msa', u'mass', u'sexual', u'abuser']"
181,2.0,0.1595,"man, woman, time, be, get, help, year, good, need, friend","[u'tired', u'performing', u'trauma', u'cartoonist']"
182,2.0,0.159,"man, woman, time, be, get, help, year, good, need, friend","[u'safe', u'rape', u'taunt', u'sexual', u'abuse']"
183,2.0,0.1587,"man, woman, time, be, get, help, year, good, need, friend","[u'keep', u'tell', u'outloud', u'happen', u'thank', u'speak']"
184,2.0,0.1631,"man, woman, time, be, get, help, year, good, need, friend","[u'mass', u'sexual', u'abuser', u'msa', u'msa']"
