,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2963,2963,26.0,0.2639999985694885,"read, wonder, tweet, must, child, follow, ignore, grateful, protect, stop","['would', 'encourage', 'man', 'read', 'tweet', 'send', 'tonight', 'will', 'open', 'eye', 'need', 'respect', 'woman', 'simple']"
2964,2964,3.0,0.5706999897956848,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['woman', 'work', 'want', 'say']"
2965,2965,15.0,0.396699994802475,"world, go, truth, wait, allow, courage, date, finally, rape, viral",['truth']
2966,2966,26.0,0.32749998569488525,"read, wonder, tweet, must, child, follow, ignore, grateful, protect, stop","['woman', 'must', 'stand', 'together', 'abuse', 'must', 'stop']"
2967,2967,0.0,0.3084999918937683,"year, old, first, job, really, later, never, boss, walk, time","['know', 'be', 'late', 'know', 'word', 'next', 'door', 'neighbor', 'old', 'brother', 'be']"
2968,2968,3.0,0.26350000500679016,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['wish', 'predominantly', 'man', 'guilty', 'inflict', 'harassment', 'assault', 'victim', 'would', 'announce', 'guilt', 'twitter']"
2969,2969,9.0,0.27300000190734863,"years_ago, raise, silent, stay, weinstein, create, nothing, remember, guilty, beautiful","['start', 'years_ago']"
2970,2970,7.0,0.5160999894142151,"thank, man, respond, side, trauma, brave, realize, wake, easy, hit","['interesting', 'much', 'easy', 'believe', 'man', 'woman', 'woman', 'woman']"
2971,2971,0.0,0.42260000109672546,"year, old, first, job, really, later, never, boss, walk, time","['first', 'tme', 'know', 'intoxication', 'know', 'man', 'touch']"
2972,2972,3.0,0.44530001282691956,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['sexual', 'harassment', 'sexual', 'assault', 'real', 'thing', 'happen', 'everyday', 'must', 'embrace', 'stand', 'woman']"
2973,2973,3.0,0.34860000014305115,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['say', 'man', 'speak', 'time', 'sexism', 'man', 'speak', 'forget', 'woman', 'right', 'feeling', 'rape', 'disvalidat', 'person', 'involuntary', 'suffer', 'need', 'comfort']"
2974,2974,15.0,0.28279998898506165,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['read', 'replie', 'support', 'victim', 'courage', 'come_forward']"
2975,2975,31.0,0.21490000188350677,"stand, enough, power, anyone, industry, home, whole, back, heal, lucky","['horrifying', 'list', 'program', 'teach', 'consent', 'bystander', 'intervention']"
2976,2976,6.0,0.24690000712871552,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['sincere', 'apologiz', 'interpret', 'spam', 'goal', 'showcase', 'way', 'ppl', 'contribute', 'actual', 'change', 'action']"
2977,2977,3.0,0.40070000290870667,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['stand', 'everyone', 'bravely', 'come', 'share', 'experience', 'sexually', 'assault', 'harass', 'believe']"
2978,2978,3.0,0.3815000057220459,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['count', 'blessing', 'rape']"
2979,2979,8.0,0.17389999330043793,"pic, far, end, could, step, find, yet, good, like, accuse","['like', 'video', 'professor', 'griff', 'pt']"
2980,2980,8.0,0.16740000247955322,"pic, far, end, could, step, find, yet, good, like, accuse","['like', 'video', 'professor', 'griff', 'part']"
2981,2981,19.0,0.31769999861717224,"one, father, leave, college, quiet, run, new, scar, meet, ill","['really', 'want', 'talk', 'ill', 'say', 'leave']"
2982,2982,6.0,0.36730000376701355,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['social_media', 'trend', 'encourage', 'sexual', 'assault', 'harassment', 'survivor', 'speak', 'simple', 'word']"
2983,2983,3.0,0.3203999996185303,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['twitter', 'follow', 'start', 'movement', 'years_ago']"
2984,2984,21.0,0.29989999532699585,"hard, part, life, school, matter, forget, wear, tag, middle, everything","['back', 'early', 'guy', 'date', 'try', 'date', 'rape', 'hold', 'traumatize', 'thnk', 'god', 'therapy']"
2985,2985,3.0,0.17110000550746918,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['molest', 'multiple', 'time', 'family_member', 'age', 'tell', 'soul', 'almost', 'year', 'wife', 'parent', 'time', 'nothing', 'despicable', 'act', 'lot', 'get', 'courage', 'speak']"
2986,2986,22.0,0.30649998784065247,"fight, thread, important, predator, change, real, society, lady, continue, moment","['time', 'stop', 'rationalization', 'male', 'behavior', 'word', 'locker', 'room', 'talk', 'that', 's', 'man', 'end', 'sexual', 'abuse']"
2987,2987,24.0,0.20100000500679016,"mean, hear, everywhere, son, trigger, understand, grab, spread, sexual, dear","['alyssa_milano', 'promote', 'campaign', 'let', 'fix', 'problem', 'reality', 'tv', 'world']"
2988,2988,3.0,0.2971000075340271,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['still', 'count', 'many', 'discount', 'experience', 'other', 'bad', 'steal', 'dollar', 'still', 'theft']"
2989,2989,3.0,0.2799000144004822,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['probably', 'sadly']"
2990,2990,1.0,0.22439999878406525,"well, day, ago, lose, pain, who, idea, say, suppose, have","['majority', 'sexual', 'assault', 'complaint', 'real', 'nothing', 'gain', 'much', 'lose', 'report', 'especially', 'accuse', 'successfu', 'ppl', 'put', 'anyone', 'moral', 'pedestal']"
2991,2991,18.0,0.21469999849796295,"share, story, also, harassment, sex, s, want, sadly, attention, senator","['lupita', 'story']"
2992,2992,31.0,0.2151000052690506,"stand, enough, power, anyone, industry, home, whole, back, heal, lucky","['speak', 'truth', 'power', 'shine', 'light', 'darkness', 'silence', 'manipulate', 'stand']"
2993,2993,17.0,0.4977000057697296,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['care', 'try', 'change', 'good', 'obvs', 'still', 'face', 'demon', 'deny', 'experience', 'stop']"
2994,2994,3.0,0.2524000108242035,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['stand', 'msgd', 'say', 'biz', 'cut', 'life', 'time', 'space']"
2995,2995,11.0,0.2623000144958496,"sexually_harass, write, hollywood, true, problem, magnitude, march, woman, assault, status","['abuser', 'know', 'manipulate', 'gaslight', 'even', 'draw', 'friend', 'side', 'take', 'advtg', 'good']"
2996,2996,3.0,0.4104999899864197,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['share', 'twitter', 'show', 'need', 'support', 'alone', 'happen', 'fault']"
2997,2997,29.0,0.1784999966621399,"boy, young, sad, happen, age, abuser, learn, anything, man, grope","['out', 'unwanted', 'msg', 'forward', 'consent', 'attempt', 'gaslight', 'abuse', 'abuse']"
2998,2998,3.0,0.3328000009059906,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['post', 'fb', 'turn', 'private', 'bc', 'someone', 'show', 'abuser', 'try', 'call', 'msg', 'deny', 'abuse']"
2999,2999,21.0,0.4553999900817871,"hard, part, life, school, matter, forget, wear, tag, middle, everything","['be', 'part', 'solution', 'be', 'part', 'problem', 'pic']"
3000,3000,15.0,0.35339999198913574,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['support', 'tip', 'tell', 'abuser', 'call', 'victim', 'get', 'gut', 'finally', 'tell', 'story', 'fuck', 'pic']"
3001,3001,17.0,0.4246000051498413,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['have', 'sexually', 'assault', 'harass', 'woman', 'know', 'well']"
3002,3002,3.0,0.26019999384880066,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['fail', 'victim', 'name', 'name', 'that', 's', 'fact']"
3003,3003,27.0,0.2574000060558319,"sorry, be, bring, sister, tour, female, ass, hug, person, truly","['truly', 'wrong', 'happen', 'everyday', 'nearly', 'everyone']"
3004,3004,3.0,0.438400000333786,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['become', 'normal', 'have', 'stop', 'talk', 'happen']"
